l_english:
 ZHX_GUI_DEBATE_HEADER:0 "天下大辩"
 ZHX_GUI_DEBATE_DESCRIPTION:0 "显学只改变周天下的国际准则，不会替换各国国论或省份宗教。"
 ZHX_GUI_DEBATE_REVIEW_BUTTON:0 "查看准则"
 ZHX_GUI_DEBATE_CONVENE_BUTTON:0 "召开大辩"

 zhx_gui_debate_orthodoxy_none:0 "天下显学：§g尚未议定§!"
 zhx_gui_debate_orthodoxy_ru:0 "天下显学：§Y儒家§!"
 zhx_gui_debate_orthodoxy_fa:0 "天下显学：§Y法家§!"
 zhx_gui_debate_orthodoxy_mo:0 "天下显学：§Y墨家§!"
 zhx_gui_debate_orthodoxy_plural:0 "天下显学：§Y百家并立§!"
 zhx_gui_debate_status_active_ru_fa:0 "论席：§Y儒家／法家§!\n列国正在投议，约一年后结算。"
 zhx_gui_debate_status_active_ru_mo:0 "论席：§Y儒家／墨家§!\n列国正在投议，约一年后结算。"
 zhx_gui_debate_status_active_fa_mo:0 "论席：§Y法家／墨家§!\n列国正在投议，约一年后结算。"
 zhx_gui_debate_status_settled:0 "本届显学已经议定，§Y十五年§!通行期尚未届满。"
 zhx_gui_debate_status_ready:0 "已有两家获得提案资格，天子现在可以召开大辩。"
 zhx_gui_debate_status_waiting:0 "尚不足两家拥有践履达到§Y70§!的列国典范。"
 zhx_gui_debate_tt:0 "天下大辩决定十五年内通行的国际准则，只评价和平、诸侯内战、域外战争胜利、礼乐值与盟功。各国国内国论和省份宗教保持不变。"
 zhx_gui_debate_review_button_tt:0 "查看当前天下显学及其国际规则，不改变任何状态。"
 zhx_gui_debate_convene_button_tt:0 "天子从已有列国实践支撑的合格学说中邀请两家，开始持续约一年的天下大辩。"

 zhx_debate.1.t:0 "天下大辩初始化"
 zhx_debate.1.d:0 "天下大辩状态已经初始化。"
 zhx_debate.2.t:0 "天下大辩"
 zhx_debate.2.d:0 "列国之中已有不止一家学说得到长期践履，足以把本国国论转化为对天下秩序的公开主张。天子将从合格学说中邀请两家论辩；各国仍可坚持自己的国内国论，但必须表明哪套国际准则更值得周天下采用。"
 zhx_debate.2.a:0 "请儒家与法家论天下之治"
 zhx_debate.2.b:0 "请儒家与墨家论仁义与非攻"
 zhx_debate.2.c:0 "请法家与墨家论成约与兼爱"

 zhx_debate.10.t:0 "天下大辩：儒法之议"
 zhx_debate.10.d:0 "儒者主张诸侯交往应以名分、履约、复国和正当之战为核心；法家则要求把盟约、裁决和共同义务写成可以一致执行的成法。列国可以支持其中一家，也可以拒绝把天下定于一尊。践履达到75且投向本国国论者，将以实践典范身份额外贡献一票。"
 zhx_debate.11.t:0 "天下大辩：儒墨之议"
 zhx_debate.11.d:0 "儒者以名分、礼序与相互责任维持诸侯秩序；墨者要求把非攻、救守、节用和保护小国置于国际准则中心。列国可以支持其中一家，也可以保留百家并立。践履达到75且投向本国国论者，将以实践典范身份额外贡献一票。"
 zhx_debate.12.t:0 "天下大辩：法墨之议"
 zhx_debate.12.d:0 "法家要求周天下严格执行成约、裁决和共同义务；墨者则坚持制度必须接受非攻、救守和公共利益的检验。列国可以支持其中一家，也可以保留百家并立。践履达到75且投向本国国论者，将以实践典范身份额外贡献一票。"
 zhx_debate.vote_ru:0 "推举儒家为天下显学"
 zhx_debate.vote_fa:0 "推举法家为天下显学"
 zhx_debate.vote_mo:0 "推举墨家为天下显学"
 zhx_debate.vote_plural:0 "百家并立，不定一尊"

 zhx_debate.20.t:0 "天下大辩之果"
 zhx_debate.20.d.ru:0 "儒家提案严格领先其余选择，成为本届天下显学。此后周天下将更重视天下和平、名分与克制内战；对外战争胜利仍有价值，却不再被视为唯一的盟功来源。\n\n第一提案：§Y[Root.zhx_tianxia_debate_a_count.GetValue]§!　第二提案：§Y[Root.zhx_tianxia_debate_b_count.GetValue]§!　百家并立：§Y[Root.zhx_tianxia_debate_plural_count.GetValue]§!"
